Tag Strain Sex grp Agewks ME
204 3 1 1 32.43 123.22
204 3 1 1 33.43 125.56
204 3 1 1 34.43 122.94
204 3 1 1 35.43 123.00
204 3 1 1 36.43 117.83
204 3 1 1 37.43 107.25
204 3 1 1 38.43 108.58
204 3 1 1 39.43 108.79
204 3 1 1 40.43  91.15
204 3 1 1 41.43 103.05
204 3 1 1 42.43 104.08
204 3 1 1 43.43 101.38
204 3 1 1 44.43 108.39
204 3 1 1 45.43 105.42
204 3 1 1 46.43 148.74
204 3 1 1 47.43 150.79
204 3 1 1 48.43 177.95
204 3 1 1 49.43 138.33
204 3 1 1 50.43 200.73
204 3 1 1 51.57 178.06
204 3 1 1 52.43 205.28
204 3 1 1 53.43 221.30
204 3 1 1 54.43 163.91
204 3 1 1 55.43 154.77
204 3 1 1 56.43 251.86
204 3 1 1 57.43 258.23
204 3 1 1 58.43 226.38
204 3 1 1 59.43 205.92
204 3 1 1 60.43 239.57
204 3 1 1 61.43 226.46
204 3 1 1 62.43 225.79
204 3 1 1 63.43 163.51
204 3 1 1 64.43 169.15
204 3 1 1 65.43 160.76
204 3 1 1 66.43 175.54
204 3 1 1 67.43 248.19
204 3 1 1 68.43 224.83
204 3 1 1 69.43 189.56
204 3 1 1 70.43 189.06
204 3 1 1 71.43 186.34
204 3 1 1 72.43 161.93
204 3 1 1 73.71 188.49
204 3 1 1 74.43 118.61
204 3 1 1 75.57 138.85
204 3 1 1 76.43 140.96
204 3 1 1 77.57 141.16
204 3 1 1 78.43 147.57
204 3 1 1 79.43 141.82
204 3 1 1 80.43 130.56
204 3 1 1 81.43 127.41
204 3 1 1 82.43 137.94
204 3 1 1 83.71 120.61
204 3 1 1 84.43 138.50
204 3 1 1 85.43 122.18
204 3 1 1 86.43 118.41
207 3 1 1 32.00 133.05
207 3 1 1 33.00 131.76
207 3 1 1 34.00 137.45
207 3 1 1 35.00 128.62
207 3 1 1 36.00 129.41
207 3 1 1 37.00 129.24
207 3 1 1 38.00 131.05
207 3 1 1 39.00 124.71
207 3 1 1 40.00 119.93
207 3 1 1 41.00 117.09
207 3 1 1 42.00 126.43
207 3 1 1 43.00 135.19
207 3 1 1 44.00 138.11
207 3 1 1 45.00  67.87
207 3 1 1 46.00 138.33
207 3 1 1 47.00 170.45
207 3 1 1 48.00 168.70
207 3 1 1 49.00 138.56
207 3 1 1 50.00 132.75
207 3 1 1 51.14 100.96
207 3 1 1 52.00 177.44
207 3 1 1 53.00 212.64
207 3 1 1 54.00 205.68
207 3 1 1 55.00 214.56
207 3 1 1 56.00 207.87
207 3 1 1 57.00 214.94
207 3 1 1 58.00 213.86
207 3 1 1 59.00 211.30
207 3 1 1 60.00 234.54
207 3 1 1 61.00 240.15
207 3 1 1 62.00 201.81
207 3 1 1 63.00 181.76
207 3 1 1 64.00 146.33
207 3 1 1 65.00 206.39
207 3 1 1 66.00 189.58
207 3 1 1 67.00 223.74
207 3 1 1 68.00 209.74
207 3 1 1 69.00 213.08
207 3 1 1 70.00 227.56
207 3 1 1 71.00 191.84
207 3 1 1 72.00 171.05
207 3 1 1 73.29 208.73
207 3 1 1 74.00 161.31
207 3 1 1 75.14 185.42
207 3 1 1 76.00 186.48
207 3 1 1 77.14 175.21
207 3 1 1 78.00 208.06
207 3 1 1 79.00 167.79
207 3 1 1 80.00 152.79
207 3 1 1 81.00 153.50
207 3 1 1 82.00 149.64
207 3 1 1 83.29 147.40
207 3 1 1 84.00 126.92
207 3 1 1 85.00 125.58
207 3 1 1 86.00 109.63
216 3 1 1 30.71  78.64
216 3 1 1 31.71  73.72
216 3 1 1 32.71 111.36
216 3 1 1 33.71 131.90
216 3 1 1 34.71  92.67
216 3 1 1 35.71  77.29
216 3 1 1 36.71  89.75
216 3 1 1 37.71  91.71
216 3 1 1 38.71  85.77
216 3 1 1 39.71  85.15
216 3 1 1 40.71  80.80
216 3 1 1 41.71  90.85
216 3 1 1 42.71 101.72
216 3 1 1 43.71  64.24
216 3 1 1 44.71  92.35
216 3 1 1 45.71 116.39
216 3 1 1 46.71 117.46
216 3 1 1 47.71 108.26
216 3 1 1 48.71 141.99
216 3 1 1 49.86 134.54
216 3 1 1 50.71 151.58
216 3 1 1 51.71 151.45
216 3 1 1 52.71 152.91
216 3 1 1 53.71 153.48
216 3 1 1 54.71 178.62
216 3 1 1 55.71 163.58
216 3 1 1 56.71 177.71
216 3 1 1 57.71 171.17
216 3 1 1 58.71 176.97
216 3 1 1 59.71 163.17
216 3 1 1 60.71 145.88
216 3 1 1 61.71 175.33
216 3 1 1 62.71 153.12
216 3 1 1 63.71 177.38
216 3 1 1 64.71 155.77
216 3 1 1 65.71 165.00
216 3 1 1 66.71 160.13
216 3 1 1 67.71 171.89
216 3 1 1 68.71 188.36
216 3 1 1 69.71 199.56
216 3 1 1 70.71 172.22
216 3 1 1 72.00 225.82
216 3 1 1 72.71 129.61
