Country,Year,Inflation
Australia,1960,3.728813559
Belgium,1960,0.299467255
Canada,1960,1.358695652
Switzerland,1960,1.438794703
Denmark,1960,1.255230126
Australia,1961,2.287581699
Belgium,1961,0.992676261
Canada,1961,1.018766756
Switzerland,1961,1.845397874
Denmark,1961,3.451628586
Australia,1962,-0.319488818
Belgium,1962,1.404607035
Canada,1962,1.061571125
Switzerland,1962,4.315992878
Denmark,1962,7.377819548
Australia,1963,0.641025641
Belgium,1963,2.148003413
Canada,1963,1.628151261
Switzerland,1963,3.44021288
Denmark,1963,6.105032823
Australia,1964,2.866242038
Belgium,1964,4.168760586
Canada,1964,1.912144703
Switzerland,1964,3.080556871
Denmark,1964,3.092783505
Australia,1965,3.405572755
Belgium,1965,4.065201375
Canada,1965,2.332657201
Switzerland,1965,3.414478608
Denmark,1965,5.449999999
Australia,1966,3.293413174
Belgium,1966,4.174347619
Canada,1966,3.815659068
Switzerland,1966,4.775979596
Denmark,1966,7.064959697
Australia,1967,3.47826087
Belgium,1967,2.730302686
Canada,1967,3.579952267
Switzerland,1967,4.005196216
Denmark,1967,8.207853558
Australia,1968,2.521008403
Belgium,1968,2.701449829
Canada,1968,4.055299539
Switzerland,1968,2.39582227
Denmark,1968,8.005207104
Australia,1969,3.278688525
Belgium,1969,3.753992291
Canada,1969,4.561558902
Switzerland,1969,2.48903599
Denmark,1969,3.487919244
Australia,1970,3.439153439
Belgium,1970,3.908472385
Canada,1970,3.346039814
Switzerland,1970,3.615986786
Denmark,1970,6.514841417
Australia,1971,6.138107417
Belgium,1971,4.343628546
Canada,1971,2.704918033
Switzerland,1971,6.573221119
Denmark,1971,5.869869591
Australia,1972,6.024096386
Belgium,1972,5.448431284
Canada,1972,4.988028731
Switzerland,1972,6.660007042
Denmark,1972,6.562360903
Australia,1973,9.090909091
Belgium,1973,6.955280087
Canada,1973,7.487647282
Switzerland,1973,8.75467033
Denmark,1973,9.30338298
Australia,1974,15.41666667
Belgium,1974,12.67788775
Canada,1974,10.99717115
Switzerland,1974,9.767414319
Denmark,1974,15.27520622
Australia,1975,15.16245487
Belgium,1975,12.76819859
Canada,1975,10.6721886
Switzerland,1975,6.696595225
Denmark,1975,9.605612075
Australia,1976,13.32288401
Belgium,1976,9.068609811
Canada,1976,7.54173863
Switzerland,1976,1.715476323
Denmark,1976,9.010290836
Australia,1977,12.30982019
Belgium,1977,7.096000591
Canada,1977,7.976445396
Switzerland,1977,1.295999163
Denmark,1977,10.92223781
Australia,1978,8.004926108
Belgium,1978,4.470593316
Canada,1978,8.973723352
Switzerland,1978,1.028792895
Denmark,1978,10.21365457
Australia,1979,9.122006842
Belgium,1979,4.469083949
Canada,1979,9.144676979
Switzerland,1979,3.647640106
Denmark,1979,9.611050379
Australia,1980,10.13584117
Belgium,1980,6.648688297
Canada,1980,10.12922051
Switzerland,1980,4.022500848
Denmark,1980,12.30532408
Australia,1981,9.487666034
Belgium,1981,7.627486568
Canada,1981,12.47161241
Switzerland,1981,6.49030964
Denmark,1981,11.76738743
Australia,1982,11.35181976
Belgium,1982,8.726549066
Canada,1982,10.7689719
Switzerland,1982,5.655101824
Denmark,1982,10.12082568
Australia,1983,10.03891051
Belgium,1983,7.661609837
Canada,1983,5.86358803
Switzerland,1983,2.949794435
Denmark,1983,6.908228812
Australia,1984,3.96039604
Belgium,1984,6.34177491
Canada,1984,4.304778304
Switzerland,1984,2.931456691
Denmark,1984,6.29077936
Australia,1985,6.734693878
Belgium,1985,4.868733995
Canada,1985,3.962030541
Switzerland,1985,3.435399353
Denmark,1985,4.678751452
Australia,1986,9.050350542
Belgium,1986,1.294368191
Canada,1986,4.194786291
Switzerland,1986,0.750309839
Denmark,1986,3.678184119
Australia,1987,8.533021625
Belgium,1987,1.553382613
Canada,1987,4.356108712
Switzerland,1987,1.44032188
Denmark,1987,4.019993457
Australia,1988,7.215939688
Belgium,1988,1.160934934
Canada,1988,4.028234149
Switzerland,1988,1.872468597
Denmark,1988,4.53513301
Australia,1989,7.533902562
Belgium,1989,3.107050651
Canada,1989,4.9836219
Switzerland,1989,3.155269797
Denmark,1989,4.772723424
Australia,1990,7.333021952
Belgium,1990,3.44831218
Canada,1990,4.780476933
Switzerland,1990,5.403959092
Denmark,1990,2.641603064
Australia,1991,3.17667537
Belgium,1991,3.215310693
Canada,1991,5.625864086
Switzerland,1991,5.859596635
Denmark,1991,2.395153317
Australia,1992,1.012231126
Belgium,1992,2.427955672
Canada,1992,1.490132904
Switzerland,1992,4.037030208
Denmark,1992,2.096044429
Australia,1993,1.753653445
Belgium,1993,2.754426435
Canada,1993,1.865079365
Switzerland,1993,3.292621803
Denmark,1993,1.25785668
Australia,1994,1.969634797
Belgium,1994,2.377540845
Canada,1994,0.165562914
Switzerland,1994,0.852116995
Denmark,1994,1.992014638
Australia,1995,4.6277666
Belgium,1995,1.467966991
Canada,1995,2.148760331
Switzerland,1995,1.799827769
Denmark,1995,2.083608424
Australia,1996,2.615384615
Belgium,1996,2.077021074
Canada,1996,1.570531125
Switzerland,1996,0.811634065
Denmark,1996,2.126298023
Australia,1997,0.224887556
Belgium,1997,1.628160495
Canada,1997,1.621216381
Switzerland,1997,0.520225423
Denmark,1997,2.182166779
Australia,1998,0.86013463
Belgium,1998,0.949250288
Canada,1998,0.995942457
Switzerland,1998,0.017938438
Denmark,1998,1.84565122
Australia,1999,1.483129403
Belgium,1999,1.120848234
Canada,1999,1.734842951
Switzerland,1999,0.806444381
Denmark,1999,2.497795444
Australia,2000,4.457435148
Belgium,2000,2.544517762
Canada,2000,2.719439957
Switzerland,2000,1.558529197
Denmark,2000,2.903282032
Australia,2001,4.407135362
Belgium,2001,2.469258231
Canada,2001,2.52512014
Switzerland,2001,0.98902033
Denmark,2001,2.337870003
Australia,2002,2.981574539
Belgium,2002,1.645214362
Canada,2002,2.258394409
Switzerland,2002,0.642711507
Denmark,2002,2.424436612
Australia,2003,2.732595966
Belgium,2003,1.588964
Canada,2003,2.758563214
Switzerland,2003,0.638272931
Denmark,2003,2.075078206
Australia,2004,2.343255225
