Location,ApertureWidth,ApertureLength,Circularity,N.Telochonc.Whorls,Whorl.First.Primary,N.Primary.Whorls,Whorl.Axial.Striae,Whorl.Tertiary.Groove,Whorl.Spiral.Striae
Cuba,7.7,9.8,0.79,7,3,8,2,6,6
Cuba,8.6,10.8,0.8,7,3,5,3,0,0
Cuba,7.1,9,0.79,7,3,4,3,7,0
Cuba,7.9,10.9,0.72,6,2,4,2,6,0
Cuba,7.2,9.8,0.73,7,3,3,2,0,5
Cuba,6.8,8.7,0.78,7,3,5,3,0,0
Cuba,7.3,9.3,0.78,7,3,3,2,7,5
Cuba,7.9,9.6,0.82,7,3,4,3,0,7
Cuba,6.8,8.7,0.78,6,2,5,2,6,4
Cuba,8.8,11.7,0.75,7,2,3,2,0,3
Cuba,6.9,9,0.77,7,4,8,2,0,0
Cuba,7.9,10.9,0.72,7,2,3,2,7,5
Cuba,6.4,8,0.8,6,2,3,2,6,5
Cuba,5.9,8,0.74,6,2,3,2,6,5
Cuba,8.9,11,0.81,7,3,4,3,7,5
Cuba,7,9.4,0.74,7,3,3,3,0,0
Cuba,7.7,9.2,0.84,7,3,5,1,0,5
Cuba,6.1,8.2,0.74,6,3,8,2,6,5
Cuba,8.8,10.8,0.81,7,3,6,3,0,5
Brazil,12.1,16.5,0.73,7,1,6,2,7,7
Brazil,10.5,13.2,0.8,7,2,4,2,6,6
Brazil,6.5,9,0.72,6,1,3,1,0,5
Brazil,7.8,10.4,0.75,7,2,5,2,7,5
Brazil,8.5,11.9,0.71,7,2,3,2,0,6
Brazil,9.7,13.5,0.72,7,2,4,2,0,0
Brazil,11.4,15.1,0.75,7,2,4,3,7,0
Brazil,10.4,14,0.74,7,2,4,1,0,0
Brazil,13.1,18.5,0.71,7,2,3,2,6,0
Brazil,9.4,12.6,0.75,7,3,5,2,6,0
Brazil,6.5,8.8,0.74,6,1,4,2,0,6
Brazil,9.3,12.8,0.73,7,2,4,2,7,7
Brazil,10.6,14,0.76,6,2,8,1,0,0
Brazil,10.6,13.2,0.8,7,2,8,2,7,6
Brazil,10.4,13.7,0.76,7,3,9,3,7,0
Brazil,7.1,9.6,0.74,6,2,7,2,6,4
Brazil,6.8,9.4,0.72,7,3,6,3,0,0
Brazil,5.9,7.5,0.79,7,2,4,3,7,5
Brazil,5.8,8.6,0.67,6,1,3,2,6,4
Brazil,10.7,14.1,0.76,7,2,4,2,7,6
Bahamas,8.5,11.4,0.75,7,2,4,2,7,7
Bahamas,9,11.4,0.79,7,3,4,3,7,0
Bahamas,9.1,11.9,0.76,7,3,9,3,0,0
Bahamas,8.4,11.2,0.75,7,3,11,3,7,5
Bahamas,8.4,11,0.76,7,2,5,2,7,5
Bahamas,9.1,11.9,0.76,7,2,3,3,7,6
Bahamas,8.9,12,0.74,7,3,6,2,0,0
Bahamas,7.6,10.4,0.73,7,2,3,2,7,0
Bahamas,9.9,12.2,0.81,7,2,7,2,7,0
Bahamas,8.5,11.4,0.75,7,3,3,3,0,4
Bahamas,9.9,13.5,0.73,7,3,8,3,0,0
Bahamas,9.7,12.3,0.79,7,2,3,2,7,7
Bahamas,9.3,12.2,0.76,7,3,5,2,7,0
Bahamas,9.5,12.5,0.76,7,1,4,1,0,0
Bahamas,7.7,9.9,0.78,7,3,7,2,6,0
Bahamas,6.4,8.5,0.75,7,3,6,2,7,4
Bahamas,7.9,10.1,0.78,7,2,4,2,7,6
Bahamas,6,8.1,0.74,6,1,3,2,0,0
Bahamas,6,8,0.75,7,2,2,2,7,6
Bahamas,5,7.3,0.68,6,2,3,2,0,0
Bahamas,7.3,9.4,0.78,6,2,3,2,6,0
Nicaragua,11,14.2,0.77,7,3,7,3,7,5
Nicaragua,10.5,14.5,0.72,7,2,6,2,6,5
Nicaragua,10.4,14,0.74,7,3,5,2,7,0
Nicaragua,9.4,12.7,0.74,7,3,8,3,0,0
Nicaragua,10.1,13.3,0.76,7,3,4,4,0,6
Nicaragua,10.5,14.4,0.73,7,2,7,2,6,0
Nicaragua,10.6,14.8,0.72,7,2,3,3,7,7
Nicaragua,11.1,15.4,0.72,7,2,4,2,7,5
Nicaragua,9.5,12.6,0.75,7,3,7,3,7,6
Nicaragua,9.8,13.7,0.72,7,3,4,2,7,0
Nicaragua,10.1,13.9,0.73,7,3,6,3,7,0
Nicaragua,9.5,12.4,0.77,7,2,3,2,5,5
Haiti,5.9,8,0.74,7,3,4,2,7,6
Haiti,6.5,8.6,0.76,6,2,4,2,6,4
Haiti,8.6,11,0.78,6,2,6,2,6,0
Haiti,8.1,10.2,0.79,7,2,4,2,0,0
Haiti,6.5,8.6,0.76,6,2,7,2,0,0
Haiti,6.8,9,0.76,6,2,3,2,0,0
Haiti,7,9.1,0.77,6,2,4,2,6,4
Haiti,6.5,8.6,0.76,6,1,4,2,0,0
Haiti,5.8,7.5,0.77,6,2,4,3,6,4
Angola,9.4,12.4,0.76,6,2,9,3,6,6
Angola,7.9,10.1,0.78,6,2,8,1,5,5
Angola,10.3,13.2,0.78,7,2,6,1,7,0
Angola,9,10.9,0.83,6,1,4,2,0,6
Angola,8.4,10.6,0.79,6,2,8,2,6,5
Angola,7.9,10,0.79,5,1,7,2,5,0
Angola,6.5,8,0.81,5,2,3,3,5,5
Angola,6.9,9.1,0.76,6,2,6,2,6,0
Angola,6.5,8.2,0.79,6,1,5,1,0,0
Angola,6.9,9,0.77,6,2,5,3,5,5
Angola,6.8,8.8,0.77,6,2,8,2,4,4
Angola,7.4,10.5,0.7,6,2,6,2,6,5
Angola,7.1,9.4,0.76,6,2,8,3,6,0
Angola,7.7,10.2,0.75,6,3,5,4,6,0
Congo,11.7,14.2,0.82,7,3,8,3,7,0
Congo,12.9,15.1,0.85,6,2,6,3,0,0
Congo,11,13.5,0.81,6,2,1,2,6,0
Congo,10.4,12.7,0.82,6,3,8,4,0,0
Congo,10,12.3,0.81,6,2,4,5,0,0
Congo,9.9,11.8,0.84,6,2,8,2,6,0
Congo,6.5,8.5,0.76,6,3,5,4,0,0
Congo,7.2,8.5,0.85,6,2,6,3,6,0
Congo,5.8,6.5,0.89,6,2,4,3,0,0
Congo,5.8,7.1,0.82,6,1,4,2,0,0
Congo,6.1,8,0.76,6,2,8,3,0,0
Congo,6,6.9,0.87,6,3,10,4,6,0
Congo,6,6.9,0.87,6,4,5,5,0,0
Congo,5.9,7.2,0.82,6,3,5,3,0,0
Congo,5.4,6.4,0.84,6,2,8,2,0,0
Congo,2.8,3.9,0.72,5,2,7,2,0,0
Congo,2.9,3.9,0.74,5,2,8,3,0,0
Congo,2.5,3.5,0.71,5,2,9,3,0,5
Congo,2.5,3.8,0.66,5,1,7,1,0,5
Congo,3.1,3.5,0.89,5,3,11,2,0,0
Bermuda,11.9,15.6,0.76,9,3,5,2,0,8
Bermuda,14,18.4,0.76,7,2,6,3,0,0
Bermuda,12.5,16.3,0.77,7,3,7,2,6,0
Bermuda,6.3,8.4,0.75,7,2,5,3,7,6
Bermuda,13.8,17.5,0.79,7,1,4,1,7,5
Bermuda,13.3,17.4,0.76,8,2,8,2,8,7
Bermuda,13.1,16.7,0.78,8,3,6,2,7,7
Bermuda,10.4,13.5,0.77,7,2,6,2,7,0
Bermuda,11.3,14.9,0.76,7,2,11,2,0,4
Bermuda,12.9,16.5,0.78,7,2,5,2,7,0
Congo,13.8,16.8,0.82,7,1,8,3,0,0
Congo,13.5,18.2,0.74,8,3,8,3,8,0
Congo,12.5,16.6,0.75,7,2,8,2,7,6
Congo,12.8,16.3,0.79,7,2,4,2,7,0
Congo,5.7,7.2,0.79,6,2,6,2,5,0
Congo,13,18,0.72,7,2,6,2,6,0
Congo,11,14.1,0.78,7,2,6,2,7,0
Congo,13.6,19.4,0.7,7,2,6,2,6,5
Congo,13.6,16.9,0.8,7,2,5,2,7,0
Congo,7.2,8.9,0.81,6,2,8,2,0,0
Congo,7.5,9.4,0.8,6,1,4,1,0,0
Congo,13.8,17.2,0.8,6,1,5,2,6,0
Congo,9.5,12.5,0.76,6,2,8,2,6,6
Congo,14.6,19.2,0.76,7,2,8,3,7,0
Congo,7.4,9,0.82,6,2,8,3,6,0
Congo,7,8.9,0.79,6,2,8,2,6,0
Congo,13.4,17.5,0.77,7,2,8,2,6,0
Congo,12.8,17.1,0.75,6,2,6,2,6,0
Congo,8.6,11,0.78,6,2,8,1,6,6
Congo,8.9,11.4,0.78,7,1,6,1,7,0
Belize,8.8,11.3,0.78,7,3,11,3,6,0
Belize,8.6,11.2,0.77,7,2,3,3,0,0
Belize,8.8,11.5,0.75,7,2,5,3,0,0
Belize,8,10,0.8,6,3,6,2,6,0
Belize,8,10.2,0.78,7,2,4,2,0,5
Belize,7.9,10.4,0.76,7,3,11,3,7,0
